编号,标签,时间,内容
36686951,"自由小窗,小米11,MIUI系统,稳定版内测",2022-03-30 13:26:00,"小米11稳定版13.0.5.0-腾讯会议悬挂小窗时被显示阴影
操作步骤
我一拉腾讯会议拉成小窗口变成阴影
预期结果
拉成小窗口应该是小窗口形式
实际结果
结果就成了阴影。。。。"
36295213,"相机,小米11,MIUI系统",2022-03-30 13:06:19,"小米11 稳定版13.0.5 相机偏色/白平衡异常
操作步骤
11主摄颜色正常
超广角颜色明显发黄，色差巨大
工作需要经常要拍室内超广角，希望能尽快优化
预期结果
颜色能和主摄一样正常
实际结果
同样情况下颜色发黄，明显色差，"
35438250,"开发版公测,小米11,MIUI系统,三方应用圈",2022-03-30 03:52:21,"小米11 公测版13.0.6.1.18 微信卡顿/白屏
操作步骤
微信别人发送图片，我点开就卡白
预期结果
点开查看图片，并且不卡白
实际结果
别人发送图片，我点开查看就卡住了"
36681741,"开发版公测,小米11,MIUI系统",2022-03-30 03:18:45,"小米11 公测版13.0.6.1.18 杀后台严重
操作步骤
这个版本杀后台严重和耗电严重"
37166299,"小米11,游戏加速,MIUI系统",2022-03-29 20:44:34,"小米11稳定版13.0.5-游戏加速GPU自定义设置无法保存
操作步骤
游戏加速自定义无法保存"
36286428,"MIUI系统,耗电,小米11,续航",2022-03-29 19:52:51,"截止4.3小米11开发版 待机耗电异常
操作步骤
太离谱吧 四个小时掉百分之30 这几天老自动关机 太离谱了
预期结果
0pppppp0pppppppppp
实际结果
pppppppppppppppppp"
35432770,"小米11,声音和振动,MIUI系统",2022-03-29 17:44:53,"小米11 公测版13.0.6.1.18 扬声器破音
操作步骤
扬声器破音
扬声器破音
扬声器破音
扬声器破音，这个开发版更新的什么玩意，扬声器破音，大晚上的突然破音特别大，撕扯声音。
正常播放一切多任务或切换窗口就破音，越更新越反人类
预期结果
扬声器破音
扬声器破音
扬声器破音
扬声器破音，这个开发版更新的什么玩意，扬声器破音，大晚上的突然破音特别大，撕扯声音。
正常播放一切多任务或切换窗口就破音，越更新越反人类
实际结果
扬声器破音
扬声器破音
扬声器破音
扬声器破音，这个开发版更新的什么玩意，扬声器破音，大晚上的突然破音特别大，撕扯声音。
正常播放一切多任务或切换窗口就破音，越更新越反人类"
36675806,"小米11,MIUI系统",2022-03-29 17:36:08,"小米11 稳定版13.0.6.0 无故黑屏关机/重启
操作步骤
打游戏突然卡住黑屏无法开机，售后刷机后恢复，但是烧屏了，换了屏幕以后，稳定版13.0.6版本打游戏五分钟内黑屏重启2次，心态崩了
预期结果
赶紧修复一下吧我的天，黑屏卡重启或者不开机
实际结果
就是打游戏黑屏，重启，要么就是无法开机"
36284618,"MIUI系统,三方应用圈,小米11",2022-03-29 17:01:56,"22.3月起 菜鸟裹裹闪退无响应
操作步骤
1.打开qq
2.输入文字
3.文字和键盘卡顿 动不了
4.qq弹框应用无响应 等待or确定
预期结果
所有应用无卡顿 不再无响应 
实际结果
各种软件仍然卡顿 尤其是菜鸟裹裹 很严重"
37163759,"MIUI系统,小米11",2022-03-29 16:42:47,"小米11 稳定版 13.0.5.0 无故自动关机
操作步骤
上无线网老自动关机啥情况"
36661591,"小米11,屏幕触控,MIUI系统",2022-03-28 18:56:51,"MIUI13-小米11稳定版 13.0.6.0 游戏场景触控失灵断触跳屏
操作步骤
小米11打游戏时断触怎么解决啊烦死我了"
36380817,"开发版内测,屏幕显示,MIUI系统,桌面,小米11,开发版公测",2022-03-28 18:50:13,"MIUI13 22.3月起 开发版 屏幕亮度无故自动变化
操作步骤
为什么我打开应用亮度就变高"
36661261,"小米11,MIUI系统",2022-03-28 17:50:28,"MIUI13 小米11 稳定版 13.0.5.0 内存占用大
操作步骤
为什么我的内存占用这么多，12g占了10g，怎么变少点"
